,name,description
0,Gramona Ovum 2014,White wine Aged in cement eggs. Winery: Gramona. D.O. Penedès. (Catalonia) Variety: Xarel·lo
1,Ximénez-Spínola Pedro Ximénez Muy Viejo,Sweet wine. Winery: Ximénez Spínola. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Pedro Ximénez
2,Chobeo de Peciña 2009,Red wine Barrel. 9 months in American oak barrels. Winery: Hermanos Peciña. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
3,Campo Viejo Tempranillo,Red wine Young. Winery: Campo Viejo. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
4,Pingus 2016,Red wine Crianza. Winery: Dominio de Pingus. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo
5,Contador 2016,"Red wine Barrel Respectful agriculture. 18 months in French oak barrels. Winery: Contador. D.O.Ca. Rioja. (La Rioja) Variety: Mazuela, Graciano and Tempranillo."
6,Altos de Torona Godello 2016,White wine Aged on its lees. Winery: Bodegas Altos de Torona. D.O. Rías Baixas. (Galicia) Variety: Godello
7,Manzanilla La Gitana,Fortified wine Manzanilla. 5 months in American oak barrels. Winery: Hidalgo - La Gitana. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino
8,Fino Quinta,Fortified wine Fino. Winery: Osborne. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
9,Manzanilla Solear,Fortified wine Manzanilla. Winery: Barbadillo. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino
10,Fino Maestro Sierra,Fortified wine Fino. 48 months in American oak barrels. Winery: Maestro Sierra. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
11,Octogenarius 2014,Red wine Barrel Respectful agriculture. 12 months in oak barrels. Winery: Bodegas Gama. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta
12,Monte Real Gran Reserva Edición Limitada 1998,Red wine Gran Reserva. Winery: Bodegas Riojanas. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
13,Tros de Clos Magnum 2014,Red wine Barrel Respectful agriculture. 14 months in French oak barrels. Winery: Alfredo Arribas - Portal del Priorat. D.O.Q. Priorat. (Catalonia) Variety: Cariñena
14,Tras da Canda Caiño Blanco 2016,White wine Barrel. 12 months in oak barrels. Winery: Bodegas y Viñedos Rodrigo Méndez. D.O. Rías Baixas. (Galicia) Variety: Caíño Blanco
15,Fernando de Castilla Classic Manzanilla,Fortified wine Manzanilla. Winery: Rey Fernando de Castilla. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia)
16,Fernando de Castilla Classic Oloroso,Fortified wine Oloroso. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
17,Fernando de Castilla Classic Amontillado,Fortified wine Amontillado. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
18,Palo Cortado Península,Fortified wine Palo cortado. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
19,Elias Mora Reserva 2012,Red wine Barrel. 24 months in French oak barrels. Winery: Elias Mora. D.O. Toro. (Castilla y León) Variety: Tinta de Toro
20,UBE Maina 2015,White wine Barrel. 12 months in sherry oak barrels. Winery: Cota 45. VT Cádiz. (Andalusia) Variety: Palomino
21,El Sacramento 2014,Red wine Barrel. 17 months in French oak barrels. Winery: Viña Leizaola. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo and Graciano.
22,Manzanilla La Guita,Fortified wine Manzanilla. 4 years in oak barrels. Winery: Bodegas de Hijos de Rainera Pérez Marín. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino
23,Fino Jarana,Fortified wine Fino. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
24,Manzanilla Papirusa,Fortified wine Manzanilla. Winery: Lustau. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino
25,Encrucijado Palo Cortado 2015,Fortified wine Palo cortado. 10 months under a cape of 'flor' and 10 months in American oak barrels. Winery: Cota 45. VT Cádiz. (Andalusia)
26,Los Pinos La Sort 2016,Red wine Aged in cement eggs Organic. 9 months in a concrete vats. Winery: Bodegas Los Pinos. D.O. Valencia. (Valencia) Variety: Garnacha Tinta
27,Finca La Oración 2015,Red wine Barrel. 7 months in oak barrels. Winery: Hacienda Grimón. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo
28,Mare Només Una 2016,"White wine Barrel fermented Respectful agriculture. Winery: Quim Piera. D.O. Tarragona. (Catalonia) Variety: Macabeo, Garnacha Blanca and Xarel·lo."
29,Fernando de Castilla Classic Fino,Fortified wine Fino. 5 years in oak barrels. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
30,Oloroso Don Nuño,Fortified wine Oloroso. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
31,Fernando de Castilla Antique Fino,Fortified wine Fino. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
32,Fernando de Castilla Antique Amontillado,Fortified wine Amontillado. 30 years in solera. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino
33,Florecita Clarete Tinajas 2015,Rosé wine Aged in amphorae Natural. Winery: Casa de Sí. D.O. Calatayud. (Aragón) Variety: Garnacha Tinta and Garnacha Blanca.
