,Unnamed: 0,name,description,winery,ages,tipes_grapes,Colors
0,0,Gramona Ovum 2014,White wine Aged in cement eggs. Winery: Gramona. D.O. Penedès. (Catalonia) Variety: Xarel·lo,Gramona,Gramona,Xarel·lo,White wine
1,1,Ximénez-Spínola Pedro Ximénez Muy Viejo,Sweet wine. Winery: Ximénez Spínola. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Pedro Ximénez,Ximénez Spínola,Ximénez Spínola,Pedro Ximénez,Sweet wine
2,2,Chobeo de Peciña 2009,Red wine Barrel. 9 months in American oak barrels. Winery: Hermanos Peciña. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Hermanos Peciña,Hermanos Peciña,Tempranillo,Red wine
3,3,Campo Viejo Tempranillo,Red wine Young. Winery: Campo Viejo. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Campo Viejo,Campo Viejo,Tempranillo,Red wine
4,4,Pingus 2016,Red wine Crianza. Winery: Dominio de Pingus. D.O. Ribera del Duero. (Castilla y León) Variety: Tempranillo,Dominio de Pingus,Dominio de Pingus,Tempranillo,Red wine
5,5,Contador 2016,"Red wine Barrel Respectful agriculture. 18 months in French oak barrels. Winery: Contador. D.O.Ca. Rioja. (La Rioja) Variety: Mazuela, Graciano and Tempranillo.",Contador,Contador,Graciano,Red wine
6,6,Altos de Torona Godello 2016,White wine Aged on its lees. Winery: Bodegas Altos de Torona. D.O. Rías Baixas. (Galicia) Variety: Godello,Bodegas Altos de Torona,Bodegas Altos de Torona,Godello,White wine
7,7,Manzanilla La Gitana,Fortified wine Manzanilla. 5 months in American oak barrels. Winery: Hidalgo - La Gitana. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino,Hidalgo - La Gitana,Hidalgo - La Gitana,Palomino,Fortified wine
8,8,Fino Quinta,Fortified wine Fino. Winery: Osborne. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Osborne,Osborne,Palomino,Fortified wine
9,9,Manzanilla Solear,Fortified wine Manzanilla. Winery: Barbadillo. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino,Barbadillo,Barbadillo,Palomino,Fortified wine
10,10,Fino Maestro Sierra,Fortified wine Fino. 48 months in American oak barrels. Winery: Maestro Sierra. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Maestro Sierra,Maestro Sierra,Palomino,Fortified wine
11,11,Octogenarius 2014,Red wine Barrel Respectful agriculture. 12 months in oak barrels. Winery: Bodegas Gama. D.O.Ca. Rioja. (La Rioja) Variety: Garnacha Tinta,Bodegas Gama,Bodegas Gama,Garnacha Tinta,Red wine
12,12,Monte Real Gran Reserva Edición Limitada 1998,Red wine Gran Reserva. Winery: Bodegas Riojanas. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Bodegas Riojanas,Bodegas Riojanas,Tempranillo,Red wine
13,13,Tros de Clos Magnum 2014,Red wine Barrel Respectful agriculture. 14 months in French oak barrels. Winery: Alfredo Arribas - Portal del Priorat. D.O.Q. Priorat. (Catalonia) Variety: Cariñena,Alfredo Arribas - Portal del Priorat,Alfredo Arribas - Portal del Priorat,Cariñena,Red wine
14,14,Tras da Canda Caiño Blanco 2016,White wine Barrel. 12 months in oak barrels. Winery: Bodegas y Viñedos Rodrigo Méndez. D.O. Rías Baixas. (Galicia) Variety: Caíño Blanco,Bodegas y Viñedos Rodrigo Méndez,Bodegas y Viñedos Rodrigo Méndez,Caíño Blanco,White wine
15,15,Fernando de Castilla Classic Manzanilla,Fortified wine Manzanilla. Winery: Rey Fernando de Castilla. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia),Rey Fernando de Castilla,Rey Fernando de Castilla,Ti,Fortified wine
16,16,Fernando de Castilla Classic Oloroso,Fortified wine Oloroso. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Rey Fernando de Castilla,Rey Fernando de Castilla,Palomino,Fortified wine
17,17,Fernando de Castilla Classic Amontillado,Fortified wine Amontillado. Winery: Rey Fernando de Castilla. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Rey Fernando de Castilla,Rey Fernando de Castilla,Lado,Fortified wine
18,18,Palo Cortado Península,Fortified wine Palo cortado. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Lustau,Lustau,Palomino,Fortified wine
19,19,Elias Mora Reserva 2012,Red wine Barrel. 24 months in French oak barrels. Winery: Elias Mora. D.O. Toro. (Castilla y León) Variety: Tinta de Toro,Elias Mora,Elias Mora,Ti,Red wine
20,20,UBE Maina 2015,White wine Barrel. 12 months in sherry oak barrels. Winery: Cota 45. VT Cádiz. (Andalusia) Variety: Palomino,Cota 45,Cota 45,Palomino,White wine
21,21,El Sacramento 2014,Red wine Barrel. 17 months in French oak barrels. Winery: Viña Leizaola. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo and Graciano.,Graci,Graci,Graciano,Red wine
22,22,Manzanilla La Guita,Fortified wine Manzanilla. 4 years in oak barrels. Winery: Bodegas de Hijos de Rainera Pérez Marín. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino,Bodegas de Hijos de Rainera Pérez Marín,Bodegas de Hijos de Rainera Pérez Marín,Palomino,Fortified wine
23,23,Fino Jarana,Fortified wine Fino. Winery: Lustau. D.O. Jerez-Xérès-Sherry. (Andalusia) Variety: Palomino,Lustau,Lustau,Palomino,Fortified wine
24,24,Manzanilla Papirusa,Fortified wine Manzanilla. Winery: Lustau. D.O. Manzanilla - Sanlúcar de Barrameda. (Andalusia) Variety: Palomino,Lustau,Lustau,Palomino,Fortified wine
25,25,Encrucijado Palo Cortado 2015,Fortified wine Palo cortado. 10 months under a cape of 'flor' and 10 months in American oak barrels. Winery: Cota 45. VT Cádiz. (Andalusia),Cota 45,Cota 45,Ti,Fortified wine
26,26,Los Pinos La Sort 2016,Red wine Aged in cement eggs Organic. 9 months in a concrete vats. Winery: Bodegas Los Pinos. D.O. Valencia. (Valencia) Variety: Garnacha Tinta,Bodegas Los Pinos,Bodegas Los Pinos,Garnacha Tinta,Red wine
27,27,Finca La Oración 2015,Red wine Barrel. 7 months in oak barrels. Winery: Hacienda Grimón. D.O.Ca. Rioja. (La Rioja) Variety: Tempranillo,Hacienda Grimón,Hacienda Grimón,Tempranillo,Red wine
28,28,Mare Només Una 2016,"White wine Barrel fermented Respectful agriculture. Winery: Quim Piera. D.O. Tarragona. (Catalonia) Variety: Macabeo, Garnacha Blanca and Xarel·lo.",LAN,LAN,Garnacha Blanca,White wine
